P-Strategy,D-H13,D-S13,D-H14,D-S14,D-H15,D-S15,D-H16,D-S16,D-H17,D-S17,D-H18,D-S18,D-H19,D-S19,D-H20,D-S20
P-H13,46.4,47.8,44.8,45.2,42.2,42.1,43.7,42.4,46.3,44.0,49.2,49.2,58.1,54.8,65.5,67.4
P-S13,48.8,49.8,44.9,45.0,44.9,43.3,40.2,45.9,44.5,47.6,46.5,49.9,54.7,54.9,67.3,64.8
P-H14,56.0,55.0,51.3,51.2,51.3,48.2,49.1,50.2,48.4,48.2,53.0,51.2,59.5,58.3,69.5,67.6
P-S14,56.2,56.5,52.5,52.1,48.4,50.6,47.8,48.0,48.9,51.3,52.4,54.7,59.4,58.5,67.6,66.5
P-H15,62.4,63.2,61.4,62.6,57.0,56.2,54.9,54.2,53.0,55.7,58.1,58.5,62.2,61.4,70.8,68.5
P-S15,64.8,66.3,57.3,60.0,56.2,58.3,53.8,54.4,55.6,56.5,58.1,56.7,62.5,61.7,71.8,66.8
P-H16,69.7,71.2,66.9,65.9,65.6,65.9,61.7,64.1,62.4,62.3,62.6,60.1,63.6,64.6,72.3,73.3
P-S16,69.4,70.9,66.5,67.7,66.4,63.4,63.7,64.4,59.2,60.1,59.9,61.9,64.4,68.3,72.9,74.1
P-H17,79.1,77.2,74.4,75.9,72.8,74.9,70.4,71.9,66.4,69.6,69.8,69.5,71.9,70.6,73.4,75.6
P-S17,76.1,76.8,72.6,76.4,70.1,73.3,70.3,68.7,67.1,70.5,70.3,65.5,71.2,68.1,76.6,75.4
P-H18,84.1,84.7,82.9,82.2,81.3,81.1,78.4,80.3,75.2,79.1,74.1,75.1,73.8,76.7,79.3,77.7
P-S18,83.8,80.7,83.0,82.5,78.8,79.3,78.8,78.4,77.2,74.0,74.8,74.6,75.1,74.3,78.3,79.2
P-H19,86.3,87.5,87.7,86.0,86.7,86.0,85.7,84.2,81.0,83.9,82.8,82.9,80.5,81.3,81.4,81.3
P-S19,86.7,87.5,86.6,87.3,86.6,85.2,86.2,84.9,81.5,83.3,83.4,82.4,81.9,81.4,81.9,83.2
P-H20,92.2,91.7,92.1,90.9,90.9,92.6,88.2,91.0,89.5,89.3,88.2,87.9,87.7,86.5,84.2,86.7
P-S20,92.0,92.2,90.9,89.8,91.2,90.0,89.7,88.5,89.1,87.2,88.1,86.7,88.4,86.0,87.0,88.3
